2020-02-07 18:35:32;Ruben;536870911
2020-02-07 18:37:36;Ruben;7
2020-02-07 18:40:00;Susana;0
2020-02-07 18:41:32;Rafael;1
2020-02-07 18:42:01;Rafael;1
2020-02-07 18:42:19;Rafael;0
2020-02-07 18:43:15;Rafael;3
2020-02-07 18:43:27;Rafael;0
2020-02-07 18:44:55;Rafael;1
2020-02-07 18:46:15;Rafael;0
2020-02-07 18:46:25;Rafael;0
2020-02-07 18:46:40;Rafael;0
2020-02-07 18:46:58;Rafael;0
2020-02-07 18:47:06;Rafael;3
2020-02-07 18:55:53;ruben;3
2020-02-07 18:56:01;ruben;1
2020-02-07 18:56:05;ruben;0
2020-02-07 18:56:10;ruben;1
2020-02-07 19:08:31;ruben;0
2020-02-07 19:10:03;ruben;3
2020-02-07 19:10:32;ruben;1
2020-02-07 19:11:26;ruben;1
2020-02-07 19:13:24;ruben;7
2020-02-07 19:13:33;ruben;0
2020-02-07 19:14:21;Irene;0
2020-02-08 18:50:50;Ruben;1
